run_id,series,alpha,Q_Y_COS_mean,Q_Y_COS_std,Q_Y_COS_sem,Q_Y_mean,FIT_Y_mean,Q_W_mean,Q_X_mean
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,0,0.0007804283574,0.006276639004,0.001403499148,0.00530149752,-0.9919156969,-0.0004850399564,0.002857188409
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,0.1,0.02419840014,0.006572913011,0.00146974803,0.02419142216,-0.9504854739,0.006168762621,0.0007192157344
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,0.2,0.05004335679,0.005401764898,0.001207871351,0.05041288882,-0.9139988899,-0.0006789692765,-0.0001268541295
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,0.3,0.07545061707,0.004278203824,0.0009566354572,0.0774387192,-0.8987655282,0.003767330258,0.002240477787
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,0.4,0.09992685057,0.006306238976,0.001410117903,0.1040368311,-0.8765435576,-0.002366540483,-0.000227820687
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,0.5,0.1219497472,0.004344571393,0.0009714756969,0.127384264,-0.8362439454,-0.002709978333,-0.001024822559
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,0.6,0.1504724249,0.006619008557,0.001480055308,0.1610983647,-0.8240689993,0.001670211958,-8.747479878e-05
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,0.7,0.176418189,0.007478126323,0.00167215988,0.1934808917,-0.8162853599,-0.000605799511,0.001793438291
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,0.8,0.2007073,0.006020156329,0.001346147879,0.2225932129,-0.784901619,-0.002815987467,-0.004954183246
20260503_023812_agd_N200_M50_a41_S20_steps200000_20d70c,AGD,0.9,0.2310812898,0.00796355661,0.001780705392,0.2623000868,-0.7642296493,0.002015470053,0.001457696609
